Date,Close/Last,Volume,Open,High,Low,,,
10/28/2019,1748.5,35,1742,1750,1742,,,
10/24/2019,1734,10,1734,1734,1734,,,
10/23/2019,1741,20,1732.5,1732.5,1732.5,,,
10/18/2019,1756.5,10,1745,1745,1745,,,
10/16/2019,1739.5,2,1729,1729,1729,,,
10/15/2019,1736.5,3,1724.25,1736,1724.25,,,
10/14/2019,1722.5,14,1719.5,1719.5,1719.5,,,
10/11/2019,1724.25,5,1730.75,1730.75,1730.75,,,
10/10/2019,1756.25,5,1752.5,1752.75,1752.5,,,
10/08/2019,1749.75,10,1747.25,1747.25,1742,,,
10/07/2019,1739.75,37,1754,1754,1754,,,
10/03/2019,1715.5,25,1708,1708,1708,,,
09/23/2019,1800,5,1785,1785,1785,,,
09/20/2019,1800.5,5,1800,1800,1800,,,
09/18/2019,1783,10,1791,1791,1785,,,
09/17/2019,1778.5,4,1782.5,1790.5,1782.5,,,
09/12/2019,1798,11,1814,1814,1814,,,
09/10/2019,1814.25,20,1800,1800,1800,,,
09/06/2019,1784.75,30,1784.75,1784.75,1784.75,,,
08/28/2019,1757.75,5,1757.75,1757.75,1757.75,,,
08/21/2019,1786.75,20,1788,1788,1788,,,
08/20/2019,1793,33,1793,1794.5,1793,,,
08/19/2019,1805.75,210,1819,1822.75,1805.25,,,
08/16/2019,1808,220,1800.75,1819.75,1799.5,,,
08/15/2019,1796.25,41,1792,1796.5,1791,,,
08/14/2019,1790,162,1799,1799,1786.75,,,
08/13/2019,1798,203,1787.75,1807,1776,,,
08/12/2019,1783.5,240,1801,1804.75,1781.25,,,
08/09/2019,1792.75,280,1798.5,1801.5,1788.75,,,
08/08/2019,1799,138,1781,1800.5,1780.5,,,
08/06/2019,1771.5,141,1781.5,1781.75,1772.75,,,
08/02/2019,1783.25,73,1796,1796,1782.25,,,
08/01/2019,1792.75,14,1791.75,1792.25,1791.75,,,
07/31/2019,1811.5,16,1826.75,1826.75,1811.5,,,
07/30/2019,1826,54,1840,1844.5,1827,,,
07/29/2019,1840.75,48,1830,1837.5,1830,,,
07/19/2019,1886,7,1880,1880,1880,,,
07/16/2019,1860,5,1875,1875,1875,,,
07/15/2019,1860,13,1864.5,1865,1860,,,
07/11/2019,1865,5,1865,1865,1865,,,
07/09/2019,1853.5,15,1855,1875,1855,,,
07/03/2019,1789.75,15,1780.5,1783.5,1780.5,,,
09/26/2017,2191.25,10,2191.25,2191.25,2191.25,,,
09/21/2017,2227,10,2227,2227,2227,,,
09/15/2017,2150.25,10,2151,2151,2144,,,
09/14/2017,2162.25,2,2160,2160,2156,,,
09/13/2017,2162.25,10,2162.25,2162.25,2162.25,,,
