Date,Close/Last,Volume,Open,High,Low
01/25/2019,1319.8,5446,1282.3,1327.2,1269.1
01/24/2019,1280.7,4653,1311.2,1314.3,1275.1
01/23/2019,1308.2,2749,1305.1,1319.5,1295
01/22/2019,1306.5,7443,1316.3,1361,1288
01/18/2019,1335.1,2868,1339.5,1361,1307.6
01/17/2019,1348.2,6570,1322,1396.4,1320.2
01/16/2019,1318.5,5235,1280.5,1324.4,1280.5
01/15/2019,1277.1,3505,1284,1296.8,1274.1
01/14/2019,1279.5,N/A,1279.5,1279.5,1279.5
01/11/2019,1278.7,3743,1273.2,1294.3,1273.2
01/10/2019,1273.2,3288,1273.3,1279.8,1260.8
01/09/2019,1269.4,4512,1265.2,1283.8,1264.6
01/08/2019,1261.4,4387,1242,1270,1236.3
01/07/2019,1240.2,3644,1239.7,1249.4,1230.8
01/04/2019,1234.4,6295,1200.6,1249.1,1198.8
01/03/2019,1200.3,2437,1194.3,1204,1192.9
01/02/2019,1198.8,2343,1198.9,1200.9,1190.1
12/31/2018,1197.2,1772,1187.9,1199,1183.6
12/28/2018,1183.4,3260,1197.4,1205.3,1179
12/27/2018,1194.5,2545,1187.3,1198.4,1181.5
12/26/2018,1185.9,1901,1174,1189.1,1174
12/24/2018,1176.1,1870,1158.2,1177.6,1158
12/21/2018,1158.7,4144,1189.9,1191,1155.5
12/20/2018,1191.9,3103,1190.8,1204.1,1177.3
12/19/2018,1201.3,4209,1175.9,1210.2,1173.8
12/18/2018,1179.2,1816,1186.3,1189.2,1173.5
12/17/2018,1182,3512,1169.6,1194.2,1167.9
12/14/2018,1171.6,4298,1192.7,1192.7,1149.2
12/13/2018,1190.7,2484,1191.7,1199,1181.4
12/12/2018,1194.5,2815,1174.3,1195,1174.1
12/11/2018,1177.3,3501,1163.4,1184.9,1161
12/10/2018,1158.7,3027,1170.2,1180,1157
12/07/2018,1170.8,4146,1158.1,1174,1135.8
12/06/2018,1141.9,6218,1182.5,1188.3,1135.8
12/05/2018,1184.4,2746,1181.7,1199,1176.5
12/04/2018,1180.2,5237,1163.1,1189.5,1155.5
12/03/2018,1165.6,5658,1150.2,1178.7,1149
11/30/2018,1144.6,4875,1156,1173.3,1142.9
11/29/2018,1151.4,3757,1157.8,1158.2,1141.3
11/28/2018,1151.9,6297,1128.5,1161.1,1125
11/27/2018,1122.1,3547,1124,1129,1111.1
11/26/2018,1123.9,4815,1099.6,1128.3,1099.6
11/23/2018,1111.5,2562,1128,1133.2,1092.9
11/21/2018,1149.8,20,1149.8,1149.8,1149.8
11/20/2018,1126.1,7092,1145.2,1152.7,1117.4
11/19/2018,1141.3,5812,1154.8,1167.1,1140.5
11/16/2018,1154.6,5625,1139,1168.3,1136.5
11/15/2018,1137.4,8027,1107.9,1161.5,1105
11/14/2018,1110.2,4721,1095.3,1117,1085
11/13/2018,1092.1,4335,1082.9,1098.3,1081.8
11/12/2018,1102.2,N/A,1102.2,1102.2,1102.2
11/09/2018,1097.5,4195,1111.2,1114.3,1092.1
11/08/2018,1116.1,4602,1119.3,1123.4,1098.4
11/07/2018,1120.7,4550,1100.2,1124.3,1098
11/06/2018,1095.3,4914,1120.1,1120.1,1087
11/05/2018,1121.6,4297,1104.9,1124.4,1097.6
11/02/2018,1104.5,5169,1081.3,1110.4,1078.4
11/01/2018,1081.4,4648,1061.1,1087.8,1061.1
10/31/2018,1068.5,4319,1062,1073.8,1054.5
10/30/2018,1055,5273,1076.2,1084.4,1054.5
10/29/2018,1079.3,4533,1090.4,1106.8,1073.3
10/26/2018,1085.9,4241,1087.4,1093.8,1065.3
10/25/2018,1087.6,4305,1112.3,1112.4,1086
10/24/2018,1112.3,3854,1127,1127.3,1108.7
10/23/2018,1122.8,7746,1109.7,1137.3,1104.4
10/22/2018,1107.7,6805,1071,1112,1070.6
10/19/2018,1069.9,3756,1063,1080.7,1062.5
10/18/2018,1064.7,4712,1064,1070.6,1057.5
10/17/2018,1067.6,4441,1073.3,1077,1063.1
10/16/2018,1073.9,3561,1079.3,1082.9,1068.9
10/15/2018,1096.2,N/A,1096.2,1096.2,1096.2
10/12/2018,1060.8,4883,1073.3,1082.9,1059.6
10/11/2018,1075.2,6195,1060.5,1089.5,1059.3
10/10/2018,1067.2,3591,1063.9,1074,1055.2
10/09/2018,1062.1,3335,1068,1077.8,1058.6
10/08/2018,1086.9,N/A,1086.9,1086.9,1086.9
10/05/2018,1057.1,3551,1047.9,1069.3,1043.4
10/04/2018,1045.5,3355,1050.2,1056.9,1041.1
10/03/2018,1053,3882,1045,1058.4,1038.6
10/02/2018,1050.7,4606,1048.2,1058.4,1032.4
10/01/2018,1056.4,5543,1064.5,1066.4,1037
09/28/2018,1072.8,4301,1073.2,1085,1062.1
09/27/2018,1089.2,N/A,1089.2,1089.2,1089.2
09/26/2018,1063.1,3531,1052.2,1065,1047.3
09/25/2018,1053.8,3494,1049.4,1058.5,1041.7
09/24/2018,1051.6,3277,1044,1052.8,1034.7
09/21/2018,1044.9,5209,1042.6,1048.9,1028
09/20/2018,1044.2,5304,1030.3,1047.5,1025.7
09/19/2018,1053.4,2,1038.1,1044.1,1038.1
09/18/2018,1004.8,6164,976.6,1006.2,972.7
09/17/2018,977,2782,967.5,978,966
09/14/2018,970.5,3170,971.8,978.1,965.9
09/13/2018,968.7,2956,965.7,973.6,963.2
09/12/2018,965,3629,964,969.5,957.2
09/11/2018,961.8,3524,963.8,970.7,954
09/10/2018,964.6,4115,965.1,978.3,961.4
